ASIN,Brand,Title,Retail_Price_USD,Deal_Price_USD,Discount_Percent,Canonical_Deal_URL,Last_Verified_At
B07F1SK4DJ,OLEVS,"OLEVS Men's Black Leather Watch – Ultra‑Thin 6.5mm Minimalist Dress & Casual Waterproof Date Watch",328.00,27.01,92,https://thefashiondeals.com/deal/olevs-men-leather-watches-black-ultra-thin-65mm-minimalist-dress-fashion-simple-casual-waterproof-date-watch-for-men-b07f1sk4dj?utm_source=weekly_index_csv,"2026-09-17 12:00:29"
B0GST6SF52,OLEVS,"OLEVS Automatic Watch for Men Mechanical Self Winding Watches Luxury Stainless Steel Luminous Waterproof Calendar Mens Watch Silver Black",988.00,108.00,89,https://thefashiondeals.com/deal/olevs-automatic-watch-for-men-mechanical-self-winding-watches-luxury-stainless-s-b0gst6sf52?utm_source=weekly_index_csv,"2026-09-17 12:00:28"
B0DSJB3DY6,OLEVS,"OLEVS Watch Men Luxury Silver Stainless Steel Dress Wrist Analog Quartz Waterproof Watches for Men Fashion Luminous Nice Large Face Minimalist Mens Watches Relojes para Hombres",368.00,43.77,88,https://thefashiondeals.com/deal/olevs-watch-men-luxury-silver-stainless-steel-dress-wrist-analog-quartz-waterpro-b0dsjb3dy6?utm_source=weekly_index_csv,"2026-09-17 12:00:46"
B0BK11BV64,OLEVS,"OLEVS Men's Diamond Business Dress Watch – Stainless Steel Waterproof Two‑Tone Analog Quartz with Luminous Date – Blue Luxury Casual Wristwatch",368.00,43.77,88,https://thefashiondeals.com/deal/olevs-watch-for-men-diamond-business-dress-analog-quartz-stainless-steel-waterproof-luminous-date-two-tone-luxury-casual-b0bk11bv64?utm_source=weekly_index_csv,"2026-09-17 12:00:53"
B07PV2TKMY,OLEVS,"OLEVS Gold Watches for Women Luxury Dress Analog Lady Watch for Ladies Stainless Steel Waterproof Luminous Elegant Female Wrist Watch",256.00,33.77,87,https://thefashiondeals.com/deal/olevs-gold-watches-for-women-luxury-dress-analog-lady-watch-for-ladies-stainless-steel-waterproof-luminous-elegant-femal-b07pv2tkmy?utm_source=weekly_index_csv,"2026-09-17 12:00:41"
B07Z8ZCTXG,OLEVS,"OLEVS Watch Men Gold Watches for Men Luxury Big Face Metal Dress Watches",298.77,42.77,86,https://thefashiondeals.com/deal/olevs-watch-men-gold-watches-for-men-luxury-big-face-metal-dress-watches-b07z8zctxg?utm_source=weekly_index_csv,"2026-09-17 12:00:40"
B0F8TY1PZK,OLEVS,"OLEVS Black Watches for Men Luxury Tonneau Square Skeleton Dress Mens Watch",368.00,49.77,86,https://thefashiondeals.com/deal/olevs-black-watches-for-men-luxury-tonneau-square-skeleton-dress-mens-watch-b0f8ty1pzk?utm_source=weekly_index_csv,"2026-09-17 12:00:41"
B0D7C5SNB6,OLEVS,"OLEVS Blue Men's Analog Dress Watch – Luxury Black Face Gift for Men",298.77,42.77,86,https://thefashiondeals.com/deal/olevs-blue-mens-watches-black-analog-dress-gift-nice-luxury-watches-for-men-b0d7c5snb6?utm_source=weekly_index_csv,"2026-09-17 12:00:34"
B0D7C6CRNC,OLEVS,"OLEVS Men's Black Analog Casual Luxury Watch – Big Face, Classic Style",298.77,42.77,86,https://thefashiondeals.com/deal/olevs-watch-men-black-watches-for-men-analog-casual-big-luxury-mens-watches-b0d7c6crnc?utm_source=weekly_index_csv,"2026-09-17 12:00:52"
B0DQXS9JF7,OLEVS,"OLEVS Watch Men Gold Watches for Men Classic Mens Luxury Watches Waterproof",298.77,43.77,85,https://thefashiondeals.com/deal/olevs-watch-men-gold-watches-for-men-classic-mens-luxury-watches-waterproof-b0dqxs9jf7?utm_source=weekly_index_csv,"2026-09-17 12:00:34"
B07X7MC5LQ,BENYAR,"BENYAR Men's Waterproof Chronograph Luminous Date Watch with Stainless Steel Bracelet – Classic Large Dial Analogue Quartz – Ideal Gift in Brown, Black or Blue",298.99,43.98,85,https://thefashiondeals.com/deal/by-benyar-mens-chronograph-waterproof-luminous-date-watches-stainless-steel-bracelet-large-dial-classic-business-fashio-b07x7mc5lq?utm_source=weekly_index_csv,"2026-09-17 12:00:35"
B07VDF1Q38,OLEVS,"OLEVL Men's Black Luxury Analog Watch – Silver Dial, Waterproof, Elegant Timepiece",298.77,43.77,85,https://thefashiondeals.com/deal/olevs-watch-men-black-watches-for-men-silver-luxury-analog-waterproof-b07vdf1q38?utm_source=weekly_index_csv,"2026-09-17 12:00:59"
B0CQ9VHBH6,Dickies,"Dickies Men's Skinny Straight Double Knee Work Pants - Durable, Slim Fit, Industrial Uniform & Workwear,English Red, 30W x 32L",34.99,5.48,84,https://thefashiondeals.com/deal/dickies-mens-skinny-straight-double-knee-work-pants-durable-slim-fit-industrial-uniform-workwearenglish-red-30w-b0cq9vhbh6?utm_source=weekly_index_csv,"2026-09-17 12:00:46"
B0BFD745BT,"La Blanca","La Blanca Women's Island Goddess One Shoulder Keyhole Tankini Swimsuit Top, Azul, 4",93.00,16.32,82,https://thefashiondeals.com/deal/la-blanca-womens-island-goddess-one-shoulder-keyhole-tankini-swimsuit-top-azul-4-b0bfd745bt?utm_source=weekly_index_csv,"2026-09-17 12:33:14"
B0DGD71ZH6,OLEVS,"OLEVS Watches for Men Skeleton Business Dress Gold Face Gold Stainless Steel Waterproof Luminous Mens Wrist Watches",248.00,43.77,82,https://thefashiondeals.com/deal/olevs-watches-for-men-skeleton-business-dress-gold-face-gold-stainless-steel-wat-b0dgd71zh6?utm_source=weekly_index_csv,"2026-09-13 13:58:20"
B0DSGN94P5,Vince,"Vince Women's Marcela Sandals, Gold, 8 Medium US",350.00,66.73,81,https://thefashiondeals.com/deal/vince-womens-marcela-sandals-gold-8-medium-us-b0dsgn94p5?utm_source=weekly_index_csv,"2026-09-17 12:40:11"
B0FCLP4493,OLEVS,"OLEVS Wood Luxury Dress Chronograph Watch for Men – 42mm Large Dial, Stainless Steel, Waterproof, Vintage Style Gift",338.00,62.66,81,https://thefashiondeals.com/deal/olevs-watches-for-men-wood-luxury-dress-chronograph-wirst-watches-42mm-large-dial-stainless-steel-waterproof-analog-quar-b0fclp4493?utm_source=weekly_index_csv,"2026-09-17 12:00:47"
B0DX43XXWY,"Badgley Mischka","Badgley Mischka Vayla Mule Sandal, Leopard, 6.5",295.00,57.69,80,https://thefashiondeals.com/deal/badgley-mischka-vayla-mule-sandal-leopard-65-b0dx43xxwy?utm_source=weekly_index_csv,"2026-09-17 12:00:47"
B0DPJBD9XP,"Lucky Brand","Lucky Brand Women's Pebina Cross Band Wedge Sandals, Black, 9 Medium",99.00,19.39,80,https://thefashiondeals.com/deal/lucky-brand-womens-pebina-cross-band-wedge-sandals-black-9-medium-b0dpjbd9xp?utm_source=weekly_index_csv,"2026-09-17 12:00:53"
B08DBSSRC2,"The Children's Place","The Children’s Place Boys French Terry Casual Shorts 3‑Pack – Small US, Black, Smoke Gray, New Navy",50.95,10.36,80,https://thefashiondeals.com/deal/the-childrens-place-boys-french-terry-casual-shorts-blacksmoke-graynew-navy-3-pack-small-us-b08dbssrc2?utm_source=weekly_index_csv,"2026-09-17 12:01:56"
B0F1DP1MC9,"Jessica Simpson","Jessica Simpson Zembitti Western Knee Boot, Chili Pepper, 11",179.00,36.99,79,https://thefashiondeals.com/deal/jessica-simpson-zembitti-western-knee-boot-chili-pepper-11-b0f1dp1mc9?utm_source=weekly_index_csv,"2026-09-17 12:00:58"
B0FQG1RG95,LifeStride,"LifeStride Women's Florence Bow Heeled Sandal Ice Blue 5.5 M",89.99,18.89,79,https://thefashiondeals.com/deal/lifestride-womens-florence-bow-heeled-sandal-ice-blue-55-m-b0fqg1rg95?utm_source=weekly_index_csv,"2026-09-17 12:02:36"
B0FLF8NGXZ,"La Blanca","La Blanca Women's Island Goddess Asymmetrical Skirted Swimsuit Bottom, Lapis, 16",89.00,18.49,79,https://thefashiondeals.com/deal/la-blanca-womens-island-goddess-asymmetrical-skirted-swimsuit-bottom-lapis-16-b0flf8ngxz?utm_source=weekly_index_csv,"2026-09-17 12:03:07"
B0FGDTSPZ6,"Vince Camuto","Vince Camuto, Women's, Arlette Slip-On Flat Mule, Camel/Black, 5.5, Medium",110.00,23.10,79,https://thefashiondeals.com/deal/vince-camuto-womens-arlette-slip-on-flat-mule-camelblack-55-medium-b0fgdtspz6?utm_source=weekly_index_csv,"2026-09-17 12:00:59"
B0F1DP12W4,"Jessica Simpson","Jessica Simpson Zembitti Western Knee Boot, Chili Pepper, 8",179.00,37.59,79,https://thefashiondeals.com/deal/jessica-simpson-zembitti-western-knee-boot-chili-pepper-8-b0f1dp12w4?utm_source=weekly_index_csv,"2026-09-17 12:00:58"
